Potential applied (V);Time (s);WE(1).Current (A);WE(1).Potential (V);Index;Current range;Overload
-1.49887084960938;24.131814939073;-0.1;-1.4984130859375;1;10 mA;Current overload
-1.497802734375;24.3454379385337;-0.1;-1.49749755859375;2;10 mA;Current overload
-1.49673461914063;24.5590609379943;-0.1;-1.49627685546875;3;10 mA;Current overload
-1.49566650390625;24.772683937455;-0.1;-1.49688720703125;4;10 mA;Current overload
-1.49459838867188;24.9863069369156;-0.09879150390625;-1.495361328125;5;10 mA;Current overload
-1.4935302734375;25.1999299363763;-0.09010009765625;-1.49322509765625;6;10 mA;Current overload
-1.49246215820313;25.4135529358369;-0.0797576904296875;-1.492919921875;7;10 mA;Current overload
-1.49139404296875;25.6271759352976;-0.06920166015625;-1.49200439453125;8;10 mA;Current overload
-1.49032592773438;25.8407989347583;-0.059722900390625;-1.49139404296875;9;10 mA;Current overload
-1.4892578125;26.0544219342189;-0.0510467529296875;-1.49017333984375;10;10 mA;Current overload
-1.48818969726563;26.2680449336796;-0.044744873046875;-1.48956298828125;11;10 mA;
-1.48712158203125;26.4816679331402;-0.040570068359375;-1.48712158203125;12;10 mA;
-1.48605346679688;26.6952909326009;-0.03740234375;-1.485595703125;13;10 mA;
-1.4849853515625;26.9089139320615;-0.0348785400390625;-1.48590087890625;14;10 mA;
-1.48391723632813;27.1225369315222;-0.032781982421875;-1.48468017578125;15;10 mA;
-1.48284912109375;27.3361599309828;-0.0310760498046875;-1.483154296875;16;10 mA;
-1.48178100585938;27.5497829304435;-0.0296142578125;-1.48345947265625;17;10 mA;
-1.480712890625;27.7634059299041;-0.0283599853515625;-1.4813232421875;18;10 mA;
-1.47964477539063;27.9770289293648;-0.0272796630859375;-1.48040771484375;19;10 mA;
-1.47857666015625;28.1906519288254;-0.02633056640625;-1.4788818359375;20;10 mA;
-1.47750854492188;28.4042749282861;-0.0254791259765625;-1.47796630859375;21;10 mA;
-1.4764404296875;28.6178979277468;-0.0247833251953125;-1.47674560546875;22;10 mA;
-1.47537231445313;28.8315209272074;-0.0241790771484375;-1.47552490234375;23;10 mA;
-1.47430419921875;29.0451439266681;-0.023626708984375;-1.47491455078125;24;10 mA;
