Potential applied (V);Time (s);WE(1).Current (A);WE(1).Potential (V);Index;Current range;Overload
-1.24893188476563;1021.81369742017;-0.0038580322265625;-1.24969482421875;1;10 mA;
-1.24786376953125;1022.02732041963;-0.0026202392578125;-1.2481689453125;2;10 mA;
-1.24679565429688;1022.24094341909;-0.001959228515625;-1.24755859375;3;10 mA;
-1.2457275390625;1022.45456641855;-0.00155120849609375;-1.246337890625;4;10 mA;
-1.24465942382813;1022.66818941801;-0.00127960205078125;-1.2451171875;5;10 mA;
-1.24359130859375;1022.88181241747;-0.00108428955078125;-1.2445068359375;6;10 mA;
-1.24252319335938;1023.09543541693;-0.000938720703125;-1.24267578125;7;10 mA;
-1.241455078125;1023.30905841639;-0.0008282470703125;-1.24176025390625;8;10 mA;
-1.24038696289063;1023.52268141585;-0.0007421875;-1.24114990234375;9;10 mA;
-1.23931884765625;1023.73630441531;-0.000672607421875;-1.240234375;10;10 mA;
-1.23825073242188;1023.94992741477;-0.00061614990234375;-1.23931884765625;11;10 mA;
-1.2371826171875;1024.16355041424;-0.0005694580078125;-1.2384033203125;12;1 mA;
-1.23611450195313;1024.3771734137;-0.0005303955078125;-1.2359619140625;13;1 mA;
-1.23504638671875;1024.59079641316;-0.000498046875;-1.23565673828125;14;1 mA;
-1.23397827148438;1024.80441941262;-0.00047088623046875;-1.2347412109375;15;1 mA;
-1.23291015625;1025.01804241208;-0.0004471435546875;-1.2347412109375;16;1 mA;
-1.23184204101563;1025.23166541154;-0.0004256591796875;-1.23199462890625;17;1 mA;
-1.23077392578125;1025.445288411;-0.000407470703125;-1.2310791015625;18;1 mA;
-1.22970581054688;1025.65891141046;-0.000390045166015625;-1.23016357421875;19;1 mA;
-1.2286376953125;1025.87253440992;-0.000374725341796875;-1.22894287109375;20;1 mA;
-1.22756958007813;1026.08615740938;-0.0003612060546875;-1.22802734375;21;1 mA;
-1.22650146484375;1026.29978040884;-0.000348724365234375;-1.2274169921875;22;1 mA;
-1.22543334960938;1026.5134034083;-0.00033685302734375;-1.22711181640625;23;1 mA;
-1.224365234375;1026.72702640776;-0.000326690673828125;-1.22528076171875;24;1 mA;
-1.22329711914063;1026.94064940722;-0.00031646728515625;-1.22406005859375;25;1 mA;
-1.22222900390625;1027.15427240668;-0.000306793212890625;-1.221923828125;26;1 mA;
-1.22116088867188;1027.36789540615;-0.000298309326171875;-1.2213134765625;27;1 mA;
-1.2200927734375;1027.58151840561;-0.00028997802734375;-1.22100830078125;28;1 mA;
-1.21902465820313;1027.79514140507;-0.00028167724609375;-1.2200927734375;29;1 mA;
-1.21795654296875;1028.00876440453;-0.000274871826171875;-1.21917724609375;30;1 mA;
-1.21688842773438;1028.22238740399;-0.000268218994140625;-1.21734619140625;31;1 mA;
-1.2158203125;1028.43601040345;-0.000261962890625;-1.21612548828125;32;1 mA;
-1.21475219726563;1028.64963340291;-0.0002559814453125;-1.2164306640625;33;1 mA;
-1.21368408203125;1028.86325640237;-0.00025054931640625;-1.21429443359375;34;1 mA;
-1.21261596679688;1029.07687940183;-0.00024462890625;-1.21429443359375;35;1 mA;
-1.2115478515625;1029.29050240129;-0.000239959716796875;-1.2115478515625;36;1 mA;
-1.21047973632813;1029.50412540075;-0.000235198974609375;-1.21002197265625;37;1 mA;
-1.20941162109375;1029.71774840021;-0.0002301025390625;-1.2103271484375;38;1 mA;
-1.20834350585938;1029.93137139967;-0.000225830078125;-1.2091064453125;39;1 mA;
-1.207275390625;1030.14499439913;-0.000221954345703125;-1.20880126953125;40;1 mA;
-1.20620727539063;1030.35861739859;-0.000217315673828125;-1.20635986328125;41;1 mA;
-1.20513916015625;1030.57224039806;-0.000213348388671875;-1.20574951171875;42;1 mA;
-1.20407104492188;1030.78586339752;-0.0002098388671875;-1.20269775390625;43;1 mA;
-1.2030029296875;1030.99948639698;-0.00020611572265625;-1.20208740234375;44;1 mA;
-1.20193481445313;1031.21310939644;-0.00020263671875;-1.20330810546875;45;1 mA;
-1.20086669921875;1031.4267323959;-0.000199737548828125;-1.201171875;46;1 mA;
-1.19979858398438;1031.64035539536;-0.00019610595703125;-1.20025634765625;47;1 mA;
-1.19873046875;1031.85397839482;-0.000193084716796875;-1.1993408203125;48;1 mA;
-1.19766235351563;1032.06760139428;-0.00019000244140625;-1.19842529296875;49;1 mA;
-1.19659423828125;1032.28122439374;-0.00018701171875;-1.19720458984375;50;1 mA;
-1.19552612304688;1032.4948473932;-0.00018402099609375;-1.19598388671875;51;1 mA;
-1.1944580078125;1032.70847039266;-0.000181732177734375;-1.195068359375;52;1 mA;
-1.19338989257813;1032.92209339212;-0.00017877197265625;-1.19384765625;53;1 mA;
-1.19232177734375;1033.13571639158;-0.000175933837890625;-1.19293212890625;54;1 mA;
-1.19125366210938;1033.34933939104;-0.000173583984375;-1.19171142578125;55;1 mA;
-1.190185546875;1033.5629623905;-0.0001707763671875;-1.19049072265625;56;1 mA;
-1.18911743164063;1033.77658538997;-0.00016766357421875;-1.18988037109375;57;1 mA;
-1.18804931640625;1033.99020838943;-0.0001654052734375;-1.1883544921875;58;1 mA;
-1.18698120117188;1034.20383138889;-0.00016259765625;-1.1871337890625;59;1 mA;
-1.1859130859375;1034.41745438835;-0.000159698486328125;-1.18621826171875;60;1 mA;
-1.18484497070313;1034.63107738781;-0.000157318115234375;-1.18438720703125;61;1 mA;
-1.18377685546875;1034.84470038727;-0.000154937744140625;-1.1859130859375;62;1 mA;
-1.18270874023438;1035.05832338673;-0.000152130126953125;-1.1834716796875;63;1 mA;
-1.181640625;1035.27194638619;-0.000150146484375;-1.18194580078125;64;1 mA;
-1.18057250976563;1035.48556938565;-0.0001475830078125;-1.18072509765625;65;1 mA;
-1.17950439453125;1035.69919238511;-0.00014508056640625;-1.1798095703125;66;1 mA;
-1.17843627929688;1035.91281538457;-0.000142913818359375;-1.17950439453125;67;1 mA;
-1.1773681640625;1036.12643838403;-0.000140960693359375;-1.17828369140625;68;1 mA;
-1.17630004882813;1036.34006138349;-0.000138458251953125;-1.1773681640625;69;1 mA;
-1.17523193359375;1036.55368438295;-0.000136566162109375;-1.17584228515625;70;1 mA;
-1.17416381835938;1036.76730738241;-0.000134735107421875;-1.17431640625;71;1 mA;
-1.173095703125;1036.98093038187;-0.0001324462890625;-1.1737060546875;72;1 mA;
-1.17202758789063;1037.19455338134;-0.000130462646484375;-1.17156982421875;73;1 mA;
-1.17095947265625;1037.4081763808;-0.000128692626953125;-1.17218017578125;74;1 mA;
-1.16989135742188;1037.62179938026;-0.00012628173828125;-1.17095947265625;75;1 mA;
-1.1688232421875;1037.83542237972;-0.000124420166015625;-1.17095947265625;76;1 mA;
-1.16775512695313;1038.04904537918;-0.000122833251953125;-1.168212890625;77;1 mA;
-1.16668701171875;1038.26266837864;-0.0001207275390625;-1.1663818359375;78;1 mA;
-1.16561889648438;1038.4762913781;-0.000118804931640625;-1.16668701171875;79;1 mA;
-1.16455078125;1038.68991437756;-0.0001175537109375;-1.16546630859375;80;1 mA;
-1.16348266601563;1038.90353737702;-0.000115509033203125;-1.1651611328125;81;1 mA;
-1.16241455078125;1039.11716037648;-0.00011383056640625;-1.1639404296875;82;1 mA;
-1.16134643554688;1039.33078337594;-0.000112335205078125;-1.1614990234375;83;1 mA;
-1.1602783203125;1039.5444063754;-0.000110626220703125;-1.16241455078125;84;1 mA;
-1.15921020507813;1039.75802937486;-0.00010882568359375;-1.16058349609375;85;1 mA;
-1.15814208984375;1039.97165237432;-0.0001075439453125;-1.15936279296875;86;1 mA;
-1.15707397460938;1040.18527537378;-0.00010601806640625;-1.15875244140625;87;1 mA;
-1.156005859375;1040.39889837325;-0.000104278564453125;-1.1566162109375;88;1 mA;
-1.15493774414063;1040.61252137271;-0.0001031494140625;-1.1553955078125;89;1 mA;
-1.15386962890625;1040.82614437217;-0.000101654052734375;-1.15570068359375;90;1 mA;
-1.15280151367188;1041.03976737163;-9.991455078125E-05;-1.15325927734375;91;1 mA;
-1.1517333984375;1041.25339037109;-9.8907470703125E-05;-1.15325927734375;92;1 mA;
-1.15066528320313;1041.46701337055;-9.7381591796875E-05;-1.15081787109375;93;1 mA;
-1.14959716796875;1041.68063637001;-9.5733642578125E-05;-1.1492919921875;94;1 mA;
-1.14852905273438;1041.89425936947;-9.4757080078125E-05;-1.148681640625;95;1 mA;
-1.1474609375;1042.10788236893;-9.3505859375E-05;-1.14898681640625;96;100 µA;
-1.14639282226563;1042.32150536839;-9.1766357421875E-05;-1.14715576171875;97;100 µA;
