Potential applied (V);Time (s);WE(1).Current (A);WE(1).Potential (V);Index;Current range;Overload
-1.9989013671875;1825.97879338985;-0.1;-1.99920654296875;1;10 mA;Current overload
-1.99783325195313;1826.19241638931;-0.1;-1.99737548828125;2;10 mA;Current overload
-1.99676513671875;1826.40603938877;-0.1;-1.9976806640625;3;10 mA;Current overload
-1.99569702148438;1826.61966238823;-0.1;-1.99462890625;4;10 mA;Current overload
-1.99462890625;1826.83328538769;-0.1;-1.99554443359375;5;10 mA;Current overload
-1.99356079101563;1827.04690838715;-0.1;-1.99371337890625;6;10 mA;Current overload
-1.99249267578125;1827.26053138661;-0.1;-1.9927978515625;7;10 mA;Current overload
-1.99142456054688;1827.47415438607;-0.1;-1.9915771484375;8;10 mA;Current overload
-1.9903564453125;1827.68777738553;-0.1;-1.99127197265625;9;10 mA;Current overload
-1.98928833007813;1827.90140038499;-0.1;-1.99005126953125;10;10 mA;Current overload
-1.98822021484375;1828.11502338445;-0.1;-1.98944091796875;11;10 mA;Current overload
-1.98715209960938;1828.32864638391;-0.1;-1.9879150390625;12;10 mA;Current overload
-1.986083984375;1828.54226938337;-0.1;-1.98638916015625;13;10 mA;Current overload
-1.98501586914063;1828.75589238284;-0.1;-1.9854736328125;14;10 mA;Current overload
-1.98394775390625;1828.9695153823;-0.1;-1.98455810546875;15;10 mA;Current overload
-1.98287963867188;1829.18313838176;-0.1;-1.98272705078125;16;10 mA;Current overload
-1.9818115234375;1829.39676138122;-0.1;-1.98272705078125;17;10 mA;Current overload
-1.98074340820313;1829.61038438068;-0.1;-1.98089599609375;18;10 mA;Current overload
-1.97967529296875;1829.82400738014;-0.1;-1.97967529296875;19;10 mA;Current overload
-1.97860717773438;1830.0376303796;-0.1;-1.97967529296875;20;10 mA;Current overload
-1.9775390625;1830.25125337906;-0.1;-1.97845458984375;21;10 mA;Current overload
-1.97647094726563;1830.46487637852;-0.1;-1.97662353515625;22;10 mA;Current overload
-1.97540283203125;1830.67849937798;-0.1;-1.97662353515625;23;10 mA;Current overload
-1.97433471679688;1830.89212237744;-0.1;-1.97418212890625;24;10 mA;Current overload
-1.9732666015625;1831.1057453769;-0.1;-1.97418212890625;25;10 mA;Current overload
-1.97219848632813;1831.31936837636;-0.1;-1.97418212890625;26;10 mA;Current overload
-1.97113037109375;1831.53299137582;-0.1;-1.97174072265625;27;10 mA;Current overload
-1.97006225585938;1831.74661437528;-0.1;-1.97113037109375;28;10 mA;Current overload
-1.968994140625;1831.96023737475;-0.1;-1.968994140625;29;10 mA;Current overload
-1.96792602539063;1832.17386037421;-0.1;-1.96807861328125;30;10 mA;Current overload
-1.96685791015625;1832.38748337367;-0.1;-1.966552734375;31;10 mA;Current overload
-1.96578979492188;1832.60110637313;-0.1;-1.966552734375;32;10 mA;Current overload
-1.9647216796875;1832.81472937259;-0.1;-1.964111328125;33;10 mA;Current overload
-1.96365356445313;1833.02835237205;-0.1;-1.9635009765625;34;10 mA;Current overload
-1.96258544921875;1833.24197537151;-0.1;-1.9635009765625;35;10 mA;Current overload
-1.96151733398438;1833.45559837097;-0.1;-1.96197509765625;36;10 mA;Current overload
-1.96044921875;1833.66922137043;-0.1;-1.96136474609375;37;10 mA;Current overload
-1.95938110351563;1833.88284436989;-0.1;-1.95892333984375;38;10 mA;Current overload
-1.95831298828125;1834.09646736935;-0.1;-1.95953369140625;39;10 mA;Current overload
-1.95724487304688;1834.31009036881;-0.1;-1.95770263671875;40;10 mA;Current overload
-1.9561767578125;1834.52371336827;-0.1;-1.95648193359375;41;10 mA;Current overload
-1.95510864257813;1834.73733636773;-0.1;-1.95648193359375;42;10 mA;Current overload
-1.95404052734375;1834.95095936719;-0.1;-1.95526123046875;43;10 mA;Current overload
-1.95297241210938;1835.16458236665;-0.1;-1.95343017578125;44;10 mA;Current overload
-1.951904296875;1835.37820536612;-0.1;-1.9525146484375;45;10 mA;Current overload
-1.95083618164063;1835.59182836558;-0.1;-1.95159912109375;46;10 mA;Current overload
-1.94976806640625;1835.80545136504;-0.1;-1.9500732421875;47;10 mA;Current overload
-1.94869995117188;1836.0190743645;-0.1;-1.94854736328125;48;10 mA;Current overload
-1.9476318359375;1836.23269736396;-0.1;-1.94915771484375;49;10 mA;Current overload
-1.94656372070313;1836.44632036342;-0.1;-1.94732666015625;50;10 mA;Current overload
-1.94549560546875;1836.65994336288;-0.1;-1.94580078125;51;10 mA;Current overload
-1.94442749023438;1836.87356636234;-0.1;-1.94488525390625;52;10 mA;Current overload
-1.943359375;1837.0871893618;-0.1;-1.94427490234375;53;10 mA;Current overload
-1.94229125976563;1837.30081236126;-0.1;-1.94305419921875;54;10 mA;Current overload
-1.94122314453125;1837.51443536072;-0.1;-1.94244384765625;55;10 mA;Current overload
-1.94015502929688;1837.72805836018;-0.1;-1.94061279296875;56;10 mA;Current overload
